radoslav		[lvl4]	4xИнопланетнаяСхема			6xИнопланетнаяКровь				8xОрганическоеВолокно		1xИнопланетныйЭнергоблок
rane			[lvl4]	3xИнопланетнаяСхема			4xИнопланетнаяКровь				8xОрганическоеВолокно		4xФизикориевыйОсколок

ara				[lvl3]	2xИнопланетнаяСхема			3xСлитокИзТитанаИАлюминия		6xИнопланетнаяВещица		5xКрасныйПровод
zeta			[lvl3]	2xИнопланетнаяСхема			3xСлитокИзТитанаИАлюминия		6xИнопланетнаяБезделушка	5xСинийПровод
tvk				[lvl3]	2xИнопланетнаяСхема			6xПротивоударноеВолокно			8xСлитокИзТитанаИАлюминия	5xОранжевыйПровод
srk				[lvl3]	2xИнопланетнаяСхема			6xПротивоударноеВолокно			6xИнопланетноеУкрашение		5xЧерныйПровод 

vikna			[lvl2]	1xИнопланетнаяСхема			8xИнопланетнаяКровь				8xОрганическоеВолокно		1xТориевыйТопливныйСтержень
ayn				[lvl2]	1xИнопланетнаяСхема			4xИнопланетноеУкрашение			2xОрганическоеВолокно		1xФизикориевыйОсколок
nitro			[lvl2]	1xИнопланетнаяСхема			6xСхемаНаБазеППВМ				6xОрганическоеВолокно		2xФизикориевыйОсколок
zofie			[lvl2]	1xИнопланетнаяСхема			4xИнопланетноеУкрашение			4xОрганическоеВолокно		3xИнопланетнаяКровь
lia				[lvl2]	1xИнопланетнаяСхема			4xСхемаНаБазеППВМ				4xОрганическоеВолокно		1xФизикориевыйОсколок


spotted hyena m	[lvl1]	1xИнопланетнаяСхема			4xИнопланетнаяКровь				2xПакетСКровью				1xИнопланетнаяВещица
spotted hyena f	[lvl1]	1xИнопланетнаяСхема			4xИнопланетнаяКровь				2xПакетСКровью				1xИнопланетнаяВещица
aardwolf m		[lvl1]	1xИнопланетнаяСхема			4xИнопланетнаяКровь				2xПакетСКровью				1xИнопланетнаяБезделушка
aardwolf f		[lvl1]	1xИнопланетнаяСхема			4xИнопланетнаяКровь				2xПакетСКровью				1xИнопланетнаяБезделушка


ИнопланетнаяСхема			aliencircuitry
ИнопланетнаяКровь			alienblood
ИнопланетныйЭнергоблок		alienpowercell
ИнопланетнаяБезделушка		alientrinket1
ИнопланетнаяВещица			alientrinket2
ИнопланетноеУкрашение		alientrinket3

ФизикориевыйОсколок			physicorium

СлитокИзТитанаИАлюминия		titaniumaluminiumalloy
ОрганическоеВолокно			organicfiber
ПротивоударноеВолокно		ballisticfiber
ПакетСКровью				antibloodloss2
СхемаНаБазеППВМ				fpgacircuit
ТориевыйТопливныйСтержень	thoriumfuelrod

КрасныйПровод				redwire
СинийПровод					bluewire
ЧерныйПровод				blackwire
ОранжевыйПровод				orangewire



